,FileName,genotype,Time,TRL,GRTR,L1R,GR1R,TNLR,TLRL,N2LR,L2LR,ML2LR,GR2L,D2LR,Height,Width,Magnitude,Altitude,ExtPathLength
121,fast-6-3-10_1,fast,9,11751.96916,2185.039617,1181.102479,177.1654557,40,10570.86668,40,10570.86668,264.271667,2007.874161,0.033866663,1167.449936,413.591278,41,41,901
122,fast-6-3-10_1,fast,10,15000.00035,3248.031196,1358.267668,177.1651884,42,13641.73269,42,13641.73269,324.8031592,3070.866007,0.03092174,1342.094223,466.533417,43,43,988
123,fast-6-4-10_1,fast,2,59.05511416,29.52755708,59.05511416,29.52755708,0,0,0,0,0,0,0,58.890335,2.635242855,1,1,1
124,fast-6-4-10_1,fast,3,531.4961589,472.4410447,236.2204725,177.1653584,4,295.2756864,4,295.2756864,73.81892159,295.2756864,0.016933333,235.401139,144.768707,5,5,19
125,fast-6-4-10_1,fast,4,1712.598665,1181.102506,413.3858645,177.165392,12,1299.2128,12,1299.2128,108.2677333,1003.937114,0.029028569,411.336594,223.660736,13,13,103
126,fast-6-4-10_1,fast,5,3484.25241,1771.653745,590.5512439,177.1653794,19,2893.701166,19,2893.701166,152.3000614,1594.488366,0.03217333,585.365952,276.373077,20,20,229
127,fast-6-4-10_1,fast,6,5669.29177,2185.03936,767.7165331,177.1652891,27,4901.575237,27,4901.575237,181.5398236,2007.874071,0.035169231,760.562912,315.381744,28,28,433
128,fast-6-4-10_1,fast,7,9153.543927,3484.252157,944.8818847,177.1653516,34,8208.662043,34,8208.662043,241.4312365,3307.086806,0.035983334,937.048325,490.541199,35,35,664
129,fast-6-4-10_1,fast,8,12342.51991,3188.975979,1122.047236,177.1653514,42,11220.47267,42,11220.47267,267.1541112,3011.810628,0.037431579,1113.458359,495.61206,43,43,988
130,fast-6-4-10_1,fast,9,16299.21303,3956.693122,1299.212565,177.1653293,49,15000.00046,49,15000.00046,306.1224584,3779.527793,0.037715152,1288.281601,563.226563,50,50,1324
131,fast-6-4-10_1,fast,10,21496.06338,5196.850355,1476.377699,177.1651338,57,20019.68568,57,20019.68568,351.2225559,5019.685221,0.038608007,1465.288681,613.623505,58,58,1768
132,fast-6-5-12_1,fast,3,59.05512827,19.68504276,59.05512827,19.68504276,0,0,0,0,0,0,0,58.949906,1.975771915,1,1,1
133,fast-6-5-12_1,fast,4,236.2204648,177.1653365,236.2204648,177.1653365,0,0,0,0,0,0,0,235.023575,14.996033,1,1,1
